20;0.061;68;11;16;270;0.890;11626
24;0.081;64;9;15;273;1.281;11824
21;0.098;65;10;15;275;1.483;11982
26;0.119;66;8;7;277;1.643;12099
25;0.230;62;14;7;279;1.858;12128
23;0.260;68;14;13;281;1.724;12244
22;0.320;63;12;13;283;1.595;12423
25;0.360;63;14;18;285;1.573;12657
21;0.380;71;13;11;287;1.507;13065
21;0.420;70;13;9;290;1.377;13182
23;0.500;71;13;15;392;1.425;14998
20;0.590;61;8;14;294;1.558;13220
22;0.630;67;12;15;299;1.538;13298
26;0.700;68;9;8;301;1.428;13495
21;0.770;60;15;7;303;1.547;13529
24;0.850;68;12;15;310;1.425;13752
24;0.950;65;15;15;314;1.450;13823
23;1.030;72;13;16;319;1.471;14123
26;1.040;69;14;7;320;1.447;14526
